Date,Open,High,Low,Close,Adj Close,Volume
29-01-2015,14314.2666,14642.94141,13653.24512,14429.63184,14429.63184,1990585176
30-01-2015,14383.84375,14988.93359,14004.29883,14040.63672,14040.63672,1649791113
31-01-2015,14041.62891,14479.60645,13413.34277,13484.96484,13484.96484,1447824217
01-02-2015,13447.94434,14359.92676,13147.07129,14070.44824,14070.44824,1805733972
02-02-2015,14040.62988,14952.75684,13778.13867,14704.6377,14704.6377,1889525750
03-02-2015,14656.80078,15176.77637,13826.3125,14002.25488,14002.25488,2512732697
04-02-2015,14017.22559,14205.66699,13644.88379,14036.41602,14036.41602,1645509015
05-02-2015,14086.65723,14779.95508,13247.00879,13402.3916,13402.3916,1389950882
06-02-2015,13390.78711,14275.23047,13348.00098,13772.71289,13772.71289,1514133365
07-02-2015,13795.45313,14270.47754,13793.84277,14112.77637,14112.77637,1338704253
08-02-2015,14108.99609,14217.12598,13699.03613,13842.71973,13842.71973,1062325165
09-02-2015,13841.29492,13920.1709,13481.08984,13674.83984,13674.83984,1726598432
10-02-2015,13685.52539,13819.24219,13344.12402,13704.5,13704.5,1316289996
11-02-2015,13697.8291,13930.6377,13607.1416,13672.73828,13672.73828,1073052802
12-02-2015,13674.17285,13812.62305,13584.55371,13786.55859,13786.55859,945334480
13-02-2015,13799.30176,14900.43066,13749.13184,14611.96484,14611.96484,2652965382
14-02-2015,14618.2334,16125.19238,14618.2334,15970.83496,15970.83496,3086687399
15-02-2015,15982.37695,16485.35938,14140.15625,14576.64453,14576.64453,3510461954
16-02-2015,14576.64453,14895.81055,14224.7168,14541.2002,14541.2002,1750698419
17-02-2015,14515.02051,15265.30566,14442.8916,15130.66602,15130.66602,1699527614
18-02-2015,15141.22461,15190.62988,14445.57617,14669.01465,14669.01465,1564241377
19-02-2015,14674.22852,15055.12793,14622.53516,14936.64063,14936.64063,1135743610
20-02-2015,14934.65137,15380.80176,14876.93164,15138.38379,15138.38379,1482714418
21-02-2015,15136.70703,15855.06641,15101.43457,15185.26758,15185.26758,762834079
22-02-2015,15185.88965,15300.64746,14555.00293,14686.14648,14686.14648,1215272609
23-02-2015,14687.2666,14926.9043,14451.4502,14851.36621,14851.36621,1019550280
24-02-2015,14857.95606,14919.44336,14716.02441,14839.76758,14839.76758,882696864
25-02-2015,14849.40234,14863.66016,14612.28125,14693.43262,14693.43262,711326225
26-02-2015,14685.20313,14706.61914,14506.48242,14599.94336,14599.94336,841034722
27-02-2015,14600.56152,15863.72266,14599.92285,15648.2168,15648.2168,2713408520
28-02-2015,15629.22949,15701.48145,15380.10645,15675.03418,15675.03418,859959001
01-03-2015,15676.26758,16135.39453,15161.49902,16045.48633,16045.48633,1554815417
02-03-2015,16055.04395,17102.75586,15986.68066,17064.49805,17064.49805,2504903715
03-03-2015,17025.86914,17664.10742,16602.625,17412.0293,17412.0293,3119017999
04-03-2015,17429.83008,17698.54883,16696.01953,17014.36914,17014.36914,2578272634
05-03-2015,16992.37695,17573.20313,16484.04297,17244.58203,17244.58203,2578925986
06-03-2015,17208.49219,17306.60938,16846.10156,17031.55078,17031.55078,1805985305
07-03-2015,17004.75977,17351.98242,16869.80469,17252.49805,17252.49805,1113227455
08-03-2015,17263.24219,17352.23242,17021.68359,17133.54492,17133.54492,1378151389
09-03-2015,17162.14844,18330.37109,17105.41211,18149.72852,18149.72852,3708709630
10-03-2015,18165.70898,18813.05859,18169.55273,18297.11719,18297.11719,4250103403
11-03-2015,18282.37695,18666.90625,18260.72266,18599.23438,18599.23438,2131401148
12-03-2015,18583.42188,18559.56445,18287.50781,18407.10352,18407.10352,2037679638
13-03-2015,18392.3457,18430.83203,17997.88867,17997.88867,17997.88867,1981939392
14-03-2015,17941.43359,18061.2793,17722.81445,17780.15039,17780.15039,1426291174
15-03-2015,17751.13477,18073.5332,17724.07617,18064.95508,18064.95508,755043983
16-03-2015,18020.29492,18484.99805,18020.29492,18245.22852,18245.22852,1350914158
17-03-2015,18245.35547,18338.59375,17805.65039,17876.4668,17876.4668,1346014932
18-03-2015,17849.04102,17877.69922,15664.54981,16067.58984,16067.58984,3573877126
19-03-2015,16041.32227,16531.10352,15587.18945,16302.78223,16302.78223,3294695360
20-03-2015,16304.53027,16563.59375,16182.07422,16331.82813,16331.82813,1151605797
21-03-2015,16325.27832,16359.7207,15951.28125,16224.25977,16224.25977,1068832590
22-03-2015,16217.52051,16830.86523,16197.11816,16719.36328,16719.36328,1150445250
23-03-2015,16715.30859,17252.0332,16284.46484,16595.22852,16595.22852,1419242359
24-03-2015,16585.08789,16611.5918,15236.44434,15294.55176,15294.55176,2495609704
25-03-2015,15411.44238,15544.37305,14734.88477,15377.0957,15377.0957,2240192774
26-03-2015,15382.0293,15980.32422,15297.40332,15614.22168,15614.22168,1616507834
27-03-2015,15616.35742,16053.89746,15405.45801,15442.5,15442.5,1079904096
28-03-2015,15439.12402,15891.0918,15439.12402,15803.13672,15803.13672,1002763178
29-03-2015,15799.51074,15824.45313,15062.25391,15178.76074,15178.76074,1357034907
30-03-2015,15189.14258,15561.74902,14974.48535,15471.98438,15471.98438,1438249562
31-03-2015,15467.4834,15561.86719,15166.21094,15216.03418,15216.03418,1412547219
01-04-2015,15215.97266,15389.15332,15027.88574,15372.10938,15372.10938,1422202317
02-04-2015,15360.73242,15790.27148,15259.9668,15703.3877,15703.3877,1630674601
03-04-2015,15707.6709,15907.95117,15635.38867,15755.24805,15755.24805,1433931870
04-04-2015,15753.32715,15813.23242,15555.64551,15716.5293,15716.5293,773972325
05-04-2015,15720.49414,16148.81543,15607.80664,16144.0459,16144.0459,1217267940
06-04-2015,16151.66602,16250.14258,15823.43945,15890.98926,15890.98926,1246079158
07-04-2015,15877.43066,15911.40332,15709.84961,15774.6582,15774.6582,1150631671
08-04-2015,15767.43066,15795.62988,15190.36816,15235.44336,15235.44336,1870769343
09-04-2015,15218.59277,15301.25391,14897.86133,15183.71973,15183.71973,1348630293
10-04-2015,15184.84082,15184.20801,14491.69336,14699.1416,14699.1416,1798352171
11-04-2015,14695.6543,14914.8916,14581.02344,14729.02832,14729.02832,1018987361
12-04-2015,14727.9707,14802.25293,14538.68262,14699.98145,14699.98145,771118283
13-04-2015,14687.34473,14781.18945,13850.73047,14011.55664,14011.55664,1945373257
14-04-2015,14022.28711,14036.11719,13469.74121,13656.16992,13656.16992,1976464812
15-04-2015,13650.81055,13956.36719,13625.89941,13956.36719,13956.36719,1406779055
16-04-2015,13961.60645,14318.48731,13961.60645,14245.42383,14245.42383,1545954386
17-04-2015,14245.54785,14264.00293,13860.27832,13939.10742,13939.10742,1277685821
18-04-2015,13937.29297,14028.79004,13813.65137,13968.75098,13968.75098,809208942
19-04-2015,13975.00488,14156.18457,13901.0918,13921.51563,13921.51563,939452121
20-04-2015,13922.26563,14254.11426,13880.22168,14183.62695,14183.62695,1159607762
21-04-2015,14183.24805,14792.49121,14122.10254,14792.49121,14792.49121,1570486754
22-04-2015,14813.42871,14980.34473,14696.96387,14737.25781,14737.25781,1500805582
23-04-2015,14729.5166,14965.41504,14689.20508,14964.59277,14964.59277,1078130074
24-04-2015,14933.45606,14951.82031,14612.77051,14720.71777,14720.71777,1365256942
25-04-2015,14718.61621,14803.01953,14406.84863,14410.22168,14410.22168,888406486
26-04-2015,14411.49512,14445.48535,13677.20215,13967.20215,13967.20215,1842330181
27-04-2015,13967.13867,14776.67481,13852.91992,14522.12695,14522.12695,2443134436
28-04-2015,14502.04883,14535.36426,14077.61719,14235.64063,14235.64063,1353203676
29-04-2015,14219.00098,14329.49316,14123.00977,14325.05664,14325.05664,1201314517
30-04-2015,14317.76074,15221.28223,14282.64551,15002.55176,15002.55176,2148532858
01-05-2015,14989.46387,15171.95117,14785.61328,14785.61328,14785.61328,1198711474
02-05-2015,14802.30566,15018.02637,14802.30566,14967.24902,14967.24902,798629184
03-05-2015,14964.06445,15496.67481,14913.28711,15296.38281,15296.38281,1176964524
04-05-2015,15296.25586,15443.83594,15110.99414,15199.10742,15199.10742,1349591761
05-05-2015,15188.55078,15211.69922,14714.54395,14956.44727,14956.44727,1515724231
06-05-2015,14964.55469,14985.55566,14593.25781,14627.11816,14627.11816,1883417597
07-05-2015,14619.47949,15327.03711,14610.38574,15208.19629,15208.19629,1862426407
